"","salary","Age","MP","FG","X3P","FT","DRB","AST","PTS","PER","TSpct","ORBpct","DRBpct","TRBpct","ASTpct","STLpct","BLKpct","TOVpct","USGpct","OWS","DWS","OBPM","DBPM","VORP","Weight","Height","possGain","possLost","FGM","X3M","FTM","PositionC","PositionPF","PositionPG","PositionSF","PositionSG","starter1"
"Aaron Gordon",16.795667615116,0.132022836629168,1.40858833152064,1.91692261218206,0.0131373826039673,0.214775301643693,0.32340015505386,0.208217901097534,2.77258872223978,2.79116510781272,0.471252848646167,0.233435237350757,0.332133835022615,0.331552849821395,0.21286596855597,0.151549898127201,0.0551192992210795,0.22314355131421,0.0922039418798712,0.371063681390832,0.616105271402312,0.375838576759109,-0.795132134400099,0.174716957408735,0.770433136779596,0.494197522332804,0.346624608085231,0.517128738721651,0.278134931241794,0.089251756735367,0.2295744416445,0,1,0,0,0,1
"Aaron Holiday",14.4926172754052,-0.110545437368921,-0.453332866976461,1.22377543162212,-0.644874128690391,0.0896121586896871,0.135801541159062,0.200670695462151,1.98787434815435,2.61006979274201,0.434376451602584,0.106222213255307,0.249782799860795,0.221615667136156,0.352987170859548,0.31015492830384,0.0230652729309962,0.268499253035007,-0.0893668975143367,0.226037909340574,-0.501776458152398,-0.619771749027597,0.21446407592936,0.111703989580001,-1.27214021673715,-1.94659795774175,0.158224005214894,-0.37702857010738,-0.570099776191744,-0.775883718260657,0.0625203569813339,0,0,1,0,0,0
"Aaron Nesmith",15.1516583353936,-0.838250259363189,-1.06889617278072,0.8754687373539,-0.644874128690391,0.0408219945202552,0.119801199812621,0.0363676441708748,1.56861591791385,2.11625551480255,0.410120919644358,0.117783035656383,0.318203261486668,0.278094271296627,0.104746830459063,0.269332933783584,0.0263173083173734,0.243730184922598,-0.361723156605649,0.172612742666994,-0.501776458152398,-1.86428465626098,0.502920136023492,0.0786431273191131,-0.0465962046271007,-0.421100782695152,0.108213584640233,-0.898620333590982,-0.902017705187476,-0.376590422108646,0.0317486983145803,0,0,0,1,0,0
"Aaron Wiggins",14.2624489684457,-0.5956819853651,-0.193440557303418,1.41098697371026,-0.425536958258938,0.117783035656383,0.204794412646013,0.121889817609037,2.23001440015921,2.42480272571829,0.4421184257562,0.170033726000261,0.264692554227082,0.254701391721922,0.160266906844694,0.197359434158495,0.0263173083173734,0.224742272677907,-0.706707751454644,0.226037909340574,-0.603402069930099,-1.24202820264429,-0.650904104353034,0.0444517625708338,-1.06788288138547,-0.726200217704471,0.228841572428847,-0.0789761338310364,-0.348821156861256,-0.110394891340639,0.149531733970964,0,0,0,0,1,1
"Al Horford",17.0926552909565,2.31513730261197,0.901427837037241,1.58923520511658,0.122805967819694,0.117783035656383,0.441183190710244,0.273695830477041,2.41591377830105,2.87356463957978,0.453620149995211,0.230016430601972,0.477209012967006,0.435542563345442,0.289214639801559,0.197359434158495,0.131028262406404,0.175632568643158,-0.797493171151748,0.395756293981203,2.44536628340093,0.749192448929124,2.08942846654121,0.336472236621213,0.97469047213127,0.799296957342123,0.414943852062708,-0.228002351969208,-0.0906627676423532,0.222349522119371,0.0625203569813339,1,0,0,0,0,1
"Alec Burks",16.1193748324567,1.10229593262152,1.32502211367963,1.50407739677627,0.780817479114052,0.247836163904581,0.329957555600019,0.245122458032985,2.54160199346455,2.68784749378469,0.44404459007564,0.0866521170612102,0.376585597593449,0.300952409372678,0.27843701430773,0.28312625591592,0.036010437523033,0.17730901497041,-0.270937736908545,0.371063681390832,1.53073577740162,0.00248470458909412,0.863490211141156,0.233993567338276,-0.0874476716974355,-0.116001347685833,0.240141127682781,0.517128738721651,0.351894471018624,0.488545052887378,0.176930708159078,0,0,0,0,1,1
"Aleksej Pokusevski",14.9976916380517,-1.32338680735937,-0.162977995134772,1.38629436111989,-0.315868373043212,0.0606246218164348,0.31015492830384,0.177681177237452,2.15176220325946,2.56494935746154,0.395414772254663,0.230016430601972,0.452986375391159,0.410541261140025,0.290744861982327,0.241162056816888,0.0922752761091708,0.283674051054242,0.146675193698134,0.128992120191103,0.107977212513807,-0.951641857623165,0.0702360458822945,0.0870113769896297,-1.06788288138547,1.71459526237008,0.294799540220645,-0.153489242900122,-0.0169032278655233,0.0892517567353673,0.0625203569813339,0,1,0,0,0,0
"Alex Caruso",16.0166036429664,0.374591110627257,-0.278516181378015,1.25276296849537,-0.206199787827486,0.13613217432458,0.226773319364788,0.315081046639895,2.12823170584927,2.54160199346455,0.423959690744329,0.132992454319912,0.26891196976979,0.24578602806397,0.320867621437435,0.435318071257845,0.036010437523033,0.285178942233662,-1.06984943024306,0.237532288766309,-0.196899622819295,-0.744223039750935,1.65674437640002,0.151549898127201,-1.23128874966681,-0.421100782695152,0.346624608085231,0.666154956859823,-0.311941386972841,-0.0438460086486367,0.121360857004268,0,0,0,0,1,0
"Alex Len",15.1812450051188,0.617159384625346,-1.00289395474866,1.22377543162212,-1.0835484695533,0.10848064299407,0.226773319364788,0.105360515657826,1.94591014905531,2.64617479738412,0.455524307980901,0.327814173878098,0.426365459985732,0.430592058185586,0.196198916070758,0.167054084663166,0.110348057168865,0.298622012490115,-0.379880240545069,0.220240791656248,-0.908278905263202,-1.1590606754954,0.21446407592936,0.0953101798043249,1.38320514283462,1.71459526237008,0.273293334999681,0.442615629652565,-0.902017705187476,-1.24172589710467,0.149531733970964,1,0,0,0,0,0
"Alperen Şengün",15.0320480943984,-1.56595508135746,0.191320813511371,1.50407739677627,-0.864211299121844,0.214775301643693,0.276253376628158,0.215708572826692,2.36085400111802,2.83321334405622,0.439544421761027,0.361405118314134,0.419145212012245,0.440468681681498,0.32973030869528,0.296731907971699,0.128100002627316,0.319180739511152,0.50981687248655,0.243230309880947,-0.0952740110415943,-0.495320458304258,0.430806120999959,0.135801541159062,0.770433136779596,0.799296957342123,0.414943852062708,1.41128604755068,-0.275061617084426,-0.642785952876653,0.25489224962879,1,0,0,0,0,0
